d l2: 0.170813  m l2: 1.27924  a l2: 1.53954
d l2: 0.170737  m l2: 1.27757  a l2: 1.48582
d l2: 0.170766  m l2: 1.27635  a l2: 1.43826
d l2: 0.170796  m l2: 1.27515  a l2: 1.39566
d l2: 0.170828  m l2: 1.27396  a l2: 1.35727
d l2: 0.170862  m l2: 1.2728  a l2: 1.32249
d l2: 0.170897  m l2: 1.27166  a l2: 1.29081
d l2: 0.170934  m l2: 1.27055  a l2: 1.26183
d l2: 0.170973  m l2: 1.26945  a l2: 1.23518
d l2: 0.171013  m l2: 1.26837  a l2: 1.21057
d l2: 0.1715  m l2: 1.25875  a l2: 1.0379
d l2: 0.172131  m l2: 1.2511  a l2: 0.937324
